,Series ID,Year,Value,LOCATION,dum
312,25-64,1962,0.674071700665741,USA,0.0
313,25-64,1963,0.6776366231407099,USA,0.0
314,25-64,1964,0.6790039509009701,USA,0.0
315,25-64,1965,0.680632420277529,USA,0.0
316,25-64,1966,0.682964880450233,USA,0.0
317,25-64,1967,0.6907301452756001,USA,0.0
318,25-64,1968,0.692935792603605,USA,0.0
319,25-64,1969,0.696462402259654,USA,0.0
320,25-64,1970,0.699317738791423,USA,0.0
321,25-64,1971,0.698044433511858,USA,0.0
322,25-64,1972,0.696978643834268,USA,0.0
323,25-64,1973,0.698709968232163,USA,0.0
324,25-64,1974,0.7034873317122979,USA,0.0
325,25-64,1975,0.705853128396212,USA,0.0
326,25-64,1976,0.7110245668266489,USA,0.0
327,25-64,1977,0.7177426600513119,USA,0.0
328,25-64,1978,0.7267551252400921,USA,0.0
329,25-64,1979,0.734515059806889,USA,0.0
330,25-64,1980,0.739879114257739,USA,0.0
331,25-64,1981,0.744071319691441,USA,0.0
332,25-64,1982,0.74872366858003,USA,0.0
333,25-64,1983,0.7508997933148029,USA,0.0
334,25-64,1984,0.756354396779799,USA,0.0
335,25-64,1985,0.7626986373030781,USA,0.0
336,25-64,1986,0.768369935980374,USA,0.0
337,25-64,1987,0.7745932105393569,USA,0.0
338,25-64,1988,0.779013158429441,USA,0.0
339,25-64,1989,0.78651047042914,USA,0.0
340,25-64,1990,0.7897262385669219,USA,0.0
341,25-64,1991,0.788841389209598,USA,0.0
342,25-64,1992,0.792795080768668,USA,0.0
343,25-64,1993,0.791927188190873,USA,0.0
344,25-64,1994,0.792546565206298,USA,0.0
345,25-64,1995,0.79422240690996,USA,0.0
346,25-64,1996,0.798057128623653,USA,0.0
347,25-64,1997,0.801984993277335,USA,0.0
348,25-64,1998,0.800967469551901,USA,0.0
349,25-64,1999,0.8006172970600519,USA,0.0
350,25-64,2000,0.7988915499665259,USA,0.0
351,25-64,2001,0.797278586774886,USA,0.0
352,25-64,2002,0.795229753402506,USA,0.0
353,25-64,2003,0.7921042524732149,USA,0.0
354,25-64,2004,0.788654819502524,USA,0.0
355,25-64,2005,0.788836335363483,USA,0.0
356,25-64,2006,0.7906808567826489,USA,0.0
357,25-64,2007,0.790633887379132,USA,0.0
358,25-64,2008,0.791808573475261,USA,0.0
359,25-64,2009,0.7878990233095141,USA,0.0
360,25-64,2010,0.7832134857951201,USA,0.0
361,25-64,2011,0.776210325804616,USA,0.0
362,25-64,2012,0.774510708158861,USA,0.0
363,25-64,2013,0.7703194698550421,USA,0.0
364,25-64,2014,0.768650129356262,USA,0.0
365,25-64,2015,0.767071205711424,USA,0.0
366,25-64,2016,0.770430181541758,USA,0.0
367,25-64,2017,0.7741594379525409,USA,0.0
368,25-64,2018,0.7777830530201421,USA,0.0
369,25-64,2019,0.7819856279039411,USA,0.0
370,25-64,2020,0.772259042410913,USA,0.0
371,25-64,2021,0.7733371429932021,USA,0.0
