,Year,cume,Country,Million tonnes of carbon dioxide
403,1969,2890.9847294844476,Japan,731.4758729267314
404,1970,3701.5045396933333,Japan,810.5198102088858
405,1971,4546.851090980588,Japan,845.3465512872552
406,1972,5427.763967616045,Japan,880.912876635457
407,1973,6422.74293581693,Japan,994.9789682008843
408,1974,7408.436204770387,Japan,985.6932689534572
409,1975,8331.993124391236,Japan,923.5569196208492
410,1976,9283.189606326121,Japan,951.1964819348857
411,1977,10243.842846347741,Japan,960.6532400216194
412,1978,11168.117243037865,Japan,924.274396690123
413,1979,12117.769181461135,Japan,949.6519384232712
414,1980,13038.484806851127,Japan,920.7156253899927
415,1981,13953.2244793877,Japan,914.739672536571
416,1982,14816.822851174724,Japan,863.5983717870256
417,1983,15680.83384249044,Japan,864.0109913157153
418,1984,16633.479390440833,Japan,952.6455479503928
419,1985,17563.93208630373,Japan,930.4526958628937
420,1986,18483.735153569556,Japan,919.8030672658289
421,1987,19411.342902043503,Japan,927.6077484739485
422,1988,20410.631734370272,Japan,999.2888323267689
423,1989,21436.121772502323,Japan,1025.4900381320508
424,1990,22520.23896162481,Japan,1084.1171891224883
425,1991,23621.073959110458,Japan,1100.8349974856462
426,1992,24734.345336123642,Japan,1113.2713770131854
427,1993,25841.829249567236,Japan,1107.4839134435917
428,1994,27013.31919408244,Japan,1171.489944515205
429,1995,28200.794966616086,Japan,1187.4757725336467
430,1996,29409.34492734678,Japan,1208.5499607306954
431,1997,30616.906432742726,Japan,1207.5615053959423
432,1998,31792.715511165803,Japan,1175.8090784230792
433,1999,33000.65406023957,Japan,1207.9385490737636
434,2000,34230.652231452674,Japan,1229.998171213103
435,2001,35454.201691015725,Japan,1223.5494595630532
436,2002,36688.55984732919,Japan,1234.358156313467
437,2003,37962.87743235483,Japan,1274.3175850256396
438,2004,39221.307408476714,Japan,1258.4299761218865
439,2005,40512.92572126026,Japan,1291.6183127835473
440,2006,41781.90385755012,Japan,1268.9781362898545
441,2007,43064.5281606579,Japan,1282.624303107783
442,2008,44357.59541518176,Japan,1293.0672545238535
443,2009,45481.671574678614,Japan,1124.076159496859
444,2010,46677.58511182351,Japan,1195.9135371448947
445,2011,47885.04953650906,Japan,1207.4644246855494
446,2012,49178.84226409882,Japan,1293.7927275897662
447,2013,50461.03000328878,Japan,1282.18773918996
448,2014,51709.68406959259,Japan,1248.654066303812
449,2015,52918.83003164973,Japan,1209.1459620571372
450,2016,54108.08524810196,Japan,1189.2552164522278
451,2017,55290.8294732452,Japan,1182.7442251432394
452,2018,56452.35170303287,Japan,1161.522229787672
453,2019,57574.056802837855,Japan,1121.7050998049842
454,2020,58603.576317821404,Japan,1029.5195149835495
455,2021,59657.27727919335,Japan,1053.7009613719438
456,1965,1919.0468705296698,Russian Federation,1919.0468705296698
457,1966,3946.5287954703094,Russian Federation,2027.4819249406396
