,Exajoules,value,Year,Totals,China Percentages
196,Nuclear,0.0,1990,28.57836046758187,0.0
197,Nuclear,0.0,1991,30.01606171245918,0.0
198,Nuclear,0.0,1992,31.586514615945635,0.0
199,Nuclear,0.016384946236559138,1993,34.048686343514674,0.00048122109826066793
200,Nuclear,0.15073333333333336,1994,36.180869954015336,0.004166105832306142
201,Nuclear,0.13108978494623658,1995,37.30406716473098,0.0035140882726636046
202,Nuclear,0.14646344086021507,1996,39.284295999858486,0.003728294911043911
203,Nuclear,0.14728064516129033,1997,39.56322357796453,0.0037226654413297358
204,Nuclear,0.14403225806451614,1998,39.630398965061616,0.003634388293478847
205,Nuclear,0.15270483870967744,1999,41.018665861873245,0.0037228133948553465
206,Nuclear,0.1709693548387097,2000,42.51003967824351,0.004021858274722129
207,Nuclear,0.17731847507331377,2001,44.921432357716256,0.003947302340257086
208,Nuclear,0.2533617377731529,2002,48.91269577247728,0.005179876794190461
209,Nuclear,0.43422661290322573,2003,56.95946113354267,0.007623432600339603
210,Nuclear,0.5024086809122662,2004,66.640277270754,0.007539114503846087
211,Nuclear,0.5251354838709675,2005,75.72861826123679,0.0069344389997905015
212,Nuclear,0.5390836579427873,2006,83.01231736038308,0.0064940201055037694
213,Nuclear,0.6068948588709674,2007,90.24356868303997,0.006725076010707729
214,Nuclear,0.663932939290723,2008,93.7788064295026,0.007079775959718882
215,Nuclear,0.6758145979689363,2009,97.93987032825129,0.006900301130723408
216,Nuclear,0.7166542204630907,2010,104.80965895305357,0.006837673432217683
217,Nuclear,0.8310070810385518,2011,113.03932617268002,0.007351486506289829
218,Nuclear,0.9312856296187676,2012,117.68627878586848,0.007913289800871793
219,Nuclear,1.0497887273610562,2013,122.15133451667884,0.008594165029099338
220,Nuclear,1.2467434386710439,2014,125.80632594302067,0.009910021847674895
221,Nuclear,1.5943304187788,2015,127.54571416704651,0.012500070497788009
222,Nuclear,1.9714633302156879,2016,129.76644998272914,0.015192396266354467
223,Nuclear,2.2809193548387094,2017,134.4236529003428,0.01696813994877603
224,Nuclear,2.6962365591397837,2018,139.83710972109768,0.019281266357102013
225,Nuclear,3.17529234008625,2019,145.10780826962772,0.021882298257762778
226,Nuclear,3.322399122229537,2020,149.0528366377736,0.02229007643983047
227,Nuclear,3.6835674961847418,2021,159.49210028143003,0.02309561094051018
228,Oil,0.464625131,1965,5.5302993244570375,0.08401446354725414
229,Oil,0.596879679,1966,6.009508456929775,0.09932254580850404
230,Oil,0.5892942429999999,1967,5.403846454714531,0.1090508858714659
231,Oil,0.644524472,1968,5.460105295725378,0.11804249865008776
232,Oil,0.864159589,1969,6.642670196667143,0.1300922013911783
233,Oil,1.1953639740000002,1970,8.502114260524122,0.1405960843822288
234,Oil,1.625679653,1971,10.080447048624894,0.16127059099246635
235,Oil,1.8709073969999999,1972,10.86781164008193,0.17215125353294175
236,Oil,2.2823391259999997,1973,11.472815063972597,0.1989345346607298
237,Oil,2.6246628650000003,1974,11.83234213373537,0.22182107610941915
238,Oil,2.8946816269999998,1975,13.249589529948329,0.21847330594333428
239,Oil,3.3090710230000004,1976,13.949375658055668,0.23722000927611658
240,Oil,3.495750171,1977,15.210548255582928,0.229824074205669
241,Oil,3.87589276,1978,16.675318015205825,0.2324329141108833
242,Oil,3.88547828,1979,17.178572642484156,0.22618167183406512
243,Oil,3.501118366573194,1980,17.37912239339829,0.20145541801944752
244,Oil,3.3175109504602185,1981,17.149859241277674,0.19344245942703503
245,Oil,3.28231069411783,1982,17.916732915734507,0.18319805901863387
246,Oil,3.348357356749232,1983,19.071713671483632,0.17556667504691809
247,Oil,3.4736049676351195,1984,20.466520585737058,0.1697213238119158
248,Oil,3.638161313783478,1985,22.141335434107702,0.16431535146606646
249,Oil,3.8679139865485266,1986,23.198782343851896,0.16672918126556738
250,Oil,4.112041498011689,1987,25.02086013121654,0.1643445299820617
251,Oil,4.4256893016313485,1988,26.881603695734814,0.16463635695713918
252,Oil,4.635816425557198,1989,28.211171320794264,0.16432555645572108
253,Oil,4.588460725402761,1990,28.57836046758187,0.16055717159169172
254,Oil,4.964917709785451,1991,30.01606171245918,0.1654086987609235
255,Oil,5.385283073941418,1992,31.586514615945635,0.17049310882887966
256,Oil,5.989593869488755,1993,34.048686343514674,0.17591262726145104
257,Oil,6.08629863202909,1994,36.180869954015336,0.1682186923577175
258,Oil,6.5722707783474545,1995,37.30406716473098,0.17618107830776125
259,Oil,7.282903210814442,1996,39.284295999858486,0.18538968372605372
260,Oil,7.997564063753737,1997,39.56322357796453,0.20214642136006655
261,Oil,8.235326315651863,1998,39.630398965061616,0.2078032654405567
262,Oil,8.774081600478082,1999,41.018665861873245,0.2139046069909741
263,Oil,9.45682527855965,2000,42.51003967824351,0.2224609845141975
264,Oil,9.659697039362753,2001,44.921432357716256,0.21503537470579975
265,Oil,10.424152805060084,2002,48.91269577247728,0.21311752788170096
266,Oil,11.645144557734227,2003,56.95946113354267,0.2044461855148513
267,Oil,13.599979872128849,2004,66.640277270754,0.20408048149129454
268,Oil,13.818553630104049,2005,75.72861826123679,0.18247465683891068
269,Oil,14.820368978961934,2006,83.01231736038308,0.17853216787843618
270,Oil,15.528842756192038,2007,90.24356868303997,0.17207700208237076
271,Oil,15.869129730958205,2008,93.7788064295026,0.16921872153371548
272,Oil,16.489074635574955,2009,97.93987032825129,0.16835916343681936
273,Oil,18.772164349699537,2010,104.80965895305357,0.1791071981076475
274,Oil,19.40664184627079,2011,113.03932617268002,0.17168044523394457
275,Oil,20.355478758886665,2012,117.68627878586848,0.17296390852771962
276,Oil,21.266891538844096,2013,122.15133451667884,0.17410281781195164
277,Oil,22.11305973221931,2014,125.80632594302067,0.17577065037440648
278,Oil,23.795623599684443,2015,127.54571416704651,0.18656545031783142
279,Oil,24.564881837772607,2016,129.76644998272914,0.18930071556278216
280,Oil,25.859418520471564,2017,134.4236529003428,0.19237253238195268
281,Oil,27.12478341316334,2018,139.83710972109768,0.19397414225210446
282,Oil,28.494639325377772,2019,145.10780826962772,0.19636875275816523
283,Oil,28.74402918600092,2020,149.0528366377736,0.19284456327291719
284,Oil,30.598500070928885,2021,159.49210028143003,0.19184962776800005
285,Other,0.0,1965,5.5302993244570375,0.0
286,Other,0.0,1966,6.009508456929775,0.0
287,Other,0.0,1967,5.403846454714531,0.0
288,Other,0.0,1968,5.460105295725378,0.0
289,Other,0.0,1969,6.642670196667143,0.0
290,Other,0.0,1970,8.502114260524122,0.0
291,Other,0.0,1971,10.080447048624894,0.0
292,Other,0.0,1972,10.86781164008193,0.0
293,Other,0.0,1973,11.472815063972597,0.0
294,Other,0.0,1974,11.83234213373537,0.0
295,Other,0.0,1975,13.249589529948329,0.0
296,Other,0.0,1976,13.949375658055668,0.0
297,Other,0.0,1977,15.210548255582928,0.0
298,Other,0.0,1978,16.675318015205825,0.0
299,Other,0.0,1979,17.178572642484156,0.0
300,Other,0.0,1980,17.37912239339829,0.0
301,Other,0.0,1981,17.149859241277674,0.0
302,Other,0.0,1982,17.916732915734507,0.0
303,Other,0.0,1983,19.071713671483632,0.0
304,Other,0.0,1984,20.466520585737058,0.0
305,Other,0.0,1985,22.141335434107702,0.0
306,Other,0.0,1986,23.198782343851896,0.0
307,Other,0.0,1987,25.02086013121654,0.0
308,Other,0.0,1988,26.881603695734814,0.0
309,Other,0.0,1989,28.211171320794264,0.0
310,Other,0.0006627016129032258,1990,28.57836046758187,2.3188930437593422e-05
311,Other,0.0006627016129032258,1991,30.01606171245918,2.2078233288951065e-05
312,Other,0.0011632392473118279,1992,31.586514615945635,3.6827084642146514e-05
313,Other,0.0012040994623655915,1993,34.048686343514674,3.536405047224205e-05
314,Other,0.005145833333333334,1994,36.180869954015336,0.00014222525162809835
315,Other,0.03449623655913978,1995,37.30406716473098,0.000924731247314345
316,Other,0.017477956989247312,1996,39.284295999858486,0.0004449095126793229
317,Other,0.031141868279569888,1997,39.56322357796453,0.0007871418318125859
318,Other,0.02836081989247311,1998,39.630398965061616,0.0007156329644189595
319,Other,0.028820497311827953,1999,41.018665861873245,0.0007026190810027426
320,Other,0.029015860215053764,2000,42.51003967824351,0.0006825648819590253
321,Other,0.029203992982823626,2001,44.921432357716256,0.0006501126845259018
322,Other,0.029104920655567114,2002,48.91269577247728,0.0005950381633216827
323,Other,0.028982955955334982,2003,56.95946113354267,0.0005088347989701627
324,Other,0.02888406487569344,2004,66.640277270754,0.0004334325434802716
325,Other,0.060976064209881574,2005,75.72861826123679,0.0008051918232488522
326,Other,0.0817625190200852,2006,83.01231736038308,0.0009849444229478367
327,Other,0.11314499999999998,2007,90.24356868303997,0.0012537735558463571
328,Other,0.17058215037066715,2008,93.7788064295026,0.0018189840206475735
329,Other,0.23943302299880528,2009,97.93987032825129,0.0024446940984946303
330,Other,0.28587918805660006,2010,104.80965895305357,0.002727603456706708
331,Other,0.3172999065696302,2011,113.03932617268002,0.0028069868895442603
332,Other,0.3460319978005865,2012,117.68627878586848,0.002940291777176468
333,Other,0.4264704333462884,2013,122.15133451667884,0.003491328482277507
334,Other,0.5314447450019315,2014,125.80632594302067,0.004224308603071596
335,Other,0.6210489559331798,2015,127.54571416704651,0.004869226378863601
336,Other,0.7137709280289651,2016,129.76644998272914,0.00550042733020717
337,Other,0.9144577137096772,2017,134.4236529003428,0.006802803628522322
338,Other,1.076789690860215,2018,139.83710972109768,0.007700314265704222
339,Other,1.295132245157766,2019,145.10780826962772,0.008925310502597178
340,Other,1.5582913375027432,2020,149.0528366377736,0.010454623827721467
341,Other,1.9525200437716177,2021,159.49210028143003,0.012242111304110485
342,Renewables,0.0,1965,5.5302993244570375,0.0
343,Renewables,0.0,1966,6.009508456929775,0.0
344,Renewables,0.0,1967,5.403846454714531,0.0
345,Renewables,0.0,1968,5.460105295725378,0.0
346,Renewables,0.0,1969,6.642670196667143,0.0
347,Renewables,0.0,1970,8.502114260524122,0.0
348,Renewables,0.0,1971,10.080447048624894,0.0
349,Renewables,0.0,1972,10.86781164008193,0.0
350,Renewables,0.0,1973,11.472815063972597,0.0
351,Renewables,0.0,1974,11.83234213373537,0.0
352,Renewables,0.0,1975,13.249589529948329,0.0
353,Renewables,0.0,1976,13.949375658055668,0.0
354,Renewables,0.0,1977,15.210548255582928,0.0
355,Renewables,0.0,1978,16.675318015205825,0.0
356,Renewables,0.0,1979,17.178572642484156,0.0
357,Renewables,0.0,1980,17.37912239339829,0.0
358,Renewables,0.0,1981,17.149859241277674,0.0
359,Renewables,0.0,1982,17.916732915734507,0.0
360,Renewables,0.0,1983,19.071713671483632,0.0
361,Renewables,0.0,1984,20.466520585737058,0.0
362,Renewables,0.0,1985,22.141335434107702,0.0
363,Renewables,0.0,1986,23.198782343851896,0.0
364,Renewables,0.0,1987,25.02086013121654,0.0
365,Renewables,0.0,1988,26.881603695734814,0.0
366,Renewables,0.0,1989,28.211171320794264,0.0
367,Renewables,0.0007054973118279569,1990,28.57836046758187,2.4686416585312667e-05
368,Renewables,0.0007807661290322581,1991,30.01606171245918,2.601161126704956e-05
369,Renewables,0.0025930241935483867,1992,31.586514615945635,8.209276094803336e-05
370,Renewables,0.003504744623655913,1993,34.048686343514674,0.00010293332871338424
371,Renewables,0.00928508064516129,1994,36.180869954015336,0.0002566295574695223
372,Renewables,0.041129892473118275,1995,37.30406716473098,0.0011025578602861944
373,Renewables,0.018573763440860216,1996,39.284295999858486,0.0004728037748449692
374,Renewables,0.03336649193548386,1997,39.56322357796453,0.0008433714171377064
375,Renewables,0.03229479838709677,1998,39.630398965061616,0.0008148996535605924
376,Renewables,0.034044475806451605,1999,41.018665861873245,0.0008299752098494228
